Y1;Yj;TALHAO
0,108901117;0,112895951;101
0,42677768;0,432020809;101
0,554611511;0,605274657;101
0,121626836;0,130820936;101
0,103093084;0,097297201;101
0,088407412;0,10119354;101
0,066079764;0,074965785;202
0,197320418;0,215111271;202
0,264064757;0,273564798;202
0,363893326;0,387928423;202
0,35642062;0,356014895;202
0,287421612;0,272557298;202
0,38032196;0,338612288;202
0,231280414;0,222103401;202
0,252471672;0,237497967;202
